,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20.0,28.0,23.0,5,No
1,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19.0,27.0,22.0,4,No
2,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23.0,33.0,27.0,6,No
3,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20.0,32.0,24.0,5,No
4,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
5,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20.0,29.0,23.0,5,No
6,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20.0,30.0,23.0,5,No
7,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1,24.0,34.0,28.0,6,No
8,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17.0,24.0,20.0,4,No
9,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17.0,24.0,20.0,4,No
10,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,24.0,31.0,27.0,6,No
11,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,26.0,35.0,29.0,6,No
12,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,22.0,30.0,25.0,5,No
13,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,25.0,33.0,28.0,6,No
14,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
15,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24.0,33.0,27.0,6,No
16,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,27.0,37.0,31.0,7,Yes
17,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
18,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24.0,33.0,27.0,6,No
19,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,34.0,27.0,6,No
20,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5,24.0,34.0,27.0,6,No
21,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5,25.0,34.0,28.0,6,No
22,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,22.0,31.0,26.0,5,No
23,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20.0,29.0,23.0,5,No
24,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20.0,29.0,23.0,5,No
25,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,19.0,29.0,22.0,4,No
26,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,20.0,28.0,23.0,5,No
27,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,3,20.0,28.0,23.0,5,No
28,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,3,23.0,27.0,25.0,5,No
29,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,19.0,25.0,21.0,4,No
30,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,19.0,25.0,21.0,4,No
31,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19.0,28.0,22.0,4,No
32,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,22.0,28.0,25.0,5,No
33,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,small car,5,21.0,30.0,24.0,5,No
34,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,small car,5,21.0,30.0,24.0,5,No
35,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,small car,5,20.0,29.0,23.0,5,No
36,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,midsize car,5,21.0,30.0,24.0,5,No
37,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,small SUV,5,19.0,24.0,21.0,4,No
38,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,23.0,30.0,26.0,5,No
39,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,small car,3,19.0,29.0,22.0,4,No
40,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,23.0,30.0,26.0,5,No
41,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,3,23.0,27.0,25.0,5,No
42,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,station wagon,5,22.0,30.0,25.0,5,No
43,BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,12.0,19.0,15.0,2,No
44,BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,small car,1,9.0,14.0,11.0,1,No
45,BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,34.0,27.0,6,No
46,BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21.0,32.0,25.0,5,No
47,BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,35.0,28.0,6,No
48,BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23.0,33.0,27.0,6,No
49,BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,24.0,33.0,27.0,6,No
50,BMW 320i,2.0,4.0,Man-6,2WD,Gasoline,small car,3,23.0,35.0,27.0,6,No
51,BMW 320i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3,24.0,35.0,28.0,6,No
52,BMW 320i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,23.0,34.0,27.0,6,No
53,BMW 330i,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21.0,32.0,25.0,5,No
54,BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,34.0,27.0,6,No
55,BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23.0,33.0,27.0,6,No
56,BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,7,23.0,33.0,27.0,6,No
57,BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,7,23.0,33.0,27.0,6,No
58,BMW 340i,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19.0,29.0,23.0,5,No
59,BMW 340i,3.0,6.0,Man-6,4WD,Gasoline,small car,3,19.0,29.0,23.0,5,No
60,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,32.0,25.0,5,No
61,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21.0,31.0,25.0,5,No
62,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20.0,29.0,23.0,5,No
63,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,34.0,27.0,6,No
64,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,22.0,32.0,26.0,5,No
65,BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,small car,7,21.0,33.0,25.0,5,No
66,BMW 430i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,34.0,27.0,6,No
67,BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23.0,33.0,27.0,6,No
68,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,24.0,34.0,27.0,6,No
69,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7,23.0,33.0,27.0,6,No
70,BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,29.0,24.0,5,No
71,BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,20.0,29.0,23.0,5,No
72,BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19.0,29.0,23.0,5,No
73,BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,small car,3,19.0,29.0,23.0,5,No
74,BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,32.0,25.0,5,No
75,BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21.0,31.0,25.0,5,No
76,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,32.0,25.0,5,No
77,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21.0,31.0,25.0,5,No
78,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,24.0,34.0,27.0,6,No
79,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,23.0,33.0,27.0,6,No
80,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,21.0,30.0,24.0,5,No
81,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,20.0,29.0,23.0,5,No
82,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,20.0,29.0,23.0,5,No
83,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,19.0,28.0,22.0,4,No
84,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,20.0,29.0,23.0,5,No
85,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,19.0,28.0,22.0,4,No
86,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
87,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16.0,25.0,19.0,3,No
88,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
89,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16.0,25.0,19.0,3,No
90,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,large car,3,21.0,29.0,24.0,5,No
91,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,20.0,29.0,23.0,5,No
92,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,large car,3,17.0,25.0,20.0,4,No
93,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,16.0,25.0,19.0,3,No
94,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,3,16.0,25.0,19.0,3,No
95,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3,16.0,25.0,19.0,3,No
96,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,20.0,26.0,22.0,4,No
97,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18.0,26.0,21.0,4,No
98,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,18.0,27.0,22.0,4,No
99,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
100,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
101,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,19.0,28.0,22.0,4,No
102,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
103,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,3,21.0,30.0,24.0,5,No
104,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17.0,24.0,20.0,4,No
105,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
106,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,16.0,22.0,19.0,3,No
107,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
108,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17.0,24.0,20.0,4,No
109,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
110,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,small car,3,17.0,24.0,20.0,4,No
111,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,3,16.0,25.0,19.0,3,No
112,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,small car,1,14.0,20.0,16.0,2,No
113,BMW M6 Convertible,4.4,8.0,Man-6,2WD,Gasoline,small car,1,15.0,22.0,17.0,3,No
114,BMW M6 Gran Coupe,4.4,8.0,AMS-7,2WD,Gasoline,small car,1,14.0,20.0,16.0,2,No
115,BMW M6 Gran Coupe,4.4,8.0,Man-6,2WD,Gasoline,small car,1,15.0,22.0,17.0,3,No
116,BMW M760i xDrive,6.6,12.0,SemiAuto-8,4WD,Gasoline,large car,3,13.0,20.0,16.0,2,No
117,BMW X1 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,7,23.0,32.0,26.0,5,No
118,BMW X1 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,7,22.0,31.0,25.0,5,No
119,BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,3,18.0,25.0,21.0,4,No
120,BMW X4 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,3,20.0,28.0,23.0,5,No
121,BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,27.0,33.0,30.0,7,Yes
122,BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,26.0,31.0,28.0,6,No
123,BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,24.0,30.0,27.0,6,No
124,BUICK Lacrosse,2.5,4.0,Auto-6,2WD,Gasoline,midsize car,5,25.0,35.0,29.0,6,No
125,BUICK Lacrosse,3.6,6.0,SemiAuto-9,2WD,Gasoline,midsize car,5,21.0,30.0,24.0,5,No
126,BUICK Lacrosse,3.6,6.0,SemiAuto-9,4WD,Gasoline,midsize car,5,20.0,29.0,23.0,5,No
127,CADILLAC ATS,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20.0,29.0,23.0,5,No
128,CADILLAC ATS,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22.0,31.0,25.0,5,No
129,CADILLAC ATS,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,5,22.0,30.0,25.0,5,No
130,CADILLAC ATS,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,5,20.0,30.0,24.0,5,No
131,CADILLAC ATS,3.6,6.0,SemiAuto-8,4WD,Gasoline,small car,5,19.0,27.0,22.0,4,No
132,CADILLAC ATS-V,3.6,6.0,Man-6,2WD,Gasoline,small car,3,16.0,23.0,19.0,3,No
133,CADILLAC ATS-V,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,3,17.0,25.0,20.0,4,No
134,CADILLAC CT6,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,5,22.0,30.0,25.0,5,No
135,CADILLAC CT6,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,18.0,26.0,21.0,4,No
136,CADILLAC CT6,3.6,6.0,SemiAuto-8,4WD,Gasoline,large car,5,18.0,27.0,21.0,4,No
137,CADILLAC CTS,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22.0,30.0,25.0,5,No
138,CADILLAC CTS,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,21.0,29.0,24.0,5,No
139,CADILLAC CTS,3.6,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3,16.0,24.0,19.0,3,No
140,CADILLAC CTS,3.6,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,20.0,30.0,24.0,5,No
141,CADILLAC CTS,3.6,6.0,SemiAuto-8,4WD,Gasoline,midsize car,5,19.0,27.0,22.0,4,No
142,CADILLAC CTS-V,6.2,8.0,SemiAuto-8,2WD,Gasoline,midsize car,1,14.0,21.0,17.0,3,No
143,CADILLAC Escalade,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14.0,23.0,17.0,3,No
144,CADILLAC Escalade,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14.0,21.0,17.0,3,No
145,CADILLAC XT5,3.6,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5,19.0,26.0,22.0,4,No
146,CADILLAC XT5,3.6,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,18.0,25.0,21.0,4,No
147,CHEVROLET Camaro,2.0,4.0,Man-6,2WD,Gasoline,small car,5,20.0,30.0,23.0,5,No
148,CHEVROLET Camaro,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,5,22.0,31.0,25.0,5,No
149,CHEVROLET Camaro,3.6,6.0,Man-6,2WD,Gasoline,small car,5,16.0,28.0,20.0,4,No
150,CHEVROLET Camaro,3.6,6.0,SemiAuto-8,2WD,Gasoline,small car,5,19.0,29.0,23.0,5,No
151,CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,14.0,20.0,16.0,2,No
152,CHEVROLET Camaro,6.2,8.0,Man-6,2WD,Gasoline,small car,1,16.0,25.0,19.0,3,No
153,CHEVROLET Camaro,6.2,8.0,SemiAuto-10,2WD,Gasoline,small car,1,13.0,21.0,15.0,2,No
154,CHEVROLET Camaro,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,17.0,27.0,20.0,4,No
155,CHEVROLET Colorado,2.5,4.0,Auto-6,2WD,Gasoline,pickup,5,20.0,26.0,22.0,4,No
156,CHEVROLET Colorado,2.5,4.0,Auto-6,4WD,Gasoline,pickup,5,19.0,24.0,21.0,4,No
157,CHEVROLET Colorado,2.5,4.0,Man-6,2WD,Gasoline,pickup,5,20.0,26.0,22.0,4,No
158,CHEVROLET Colorado,2.8,4.0,Auto-6,2WD,Diesel,pickup,3,22.0,30.0,25.0,4,No
159,CHEVROLET Colorado,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,20.0,28.0,23.0,4,No
160,CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,pickup,5,18.0,25.0,20.0,4,No
161,CHEVROLET Colorado,3.6,6.0,Auto-8,2WD,Gasoline,special purpose,5,15.0,15.0,15.0,2,No
162,CHEVROLET Colorado,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,17.0,24.0,19.0,3,No
163,CHEVROLET Colorado ZR2,2.8,4.0,Auto-6,4WD,Diesel,pickup,3,19.0,22.0,20.0,3,No
164,CHEVROLET Colorado ZR2,3.6,6.0,Auto-8,4WD,Gasoline,pickup,5,16.0,18.0,17.0,3,No
165,CHEVROLET Corvette,6.2,8.0,Man-7,2WD,Gasoline,small car,1,15.0,22.0,18.0,3,No
166,CHEVROLET Corvette,6.2,8.0,Man-7,2WD,Gasoline,small car,1,16.0,25.0,19.0,3,No
167,CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,13.0,23.0,16.0,2,No
168,CHEVROLET Corvette,6.2,8.0,SemiAuto-8,2WD,Gasoline,small car,1,15.0,25.0,18.0,3,No
169,CHEVROLET Cruze,1.4,4.0,Man-6,2WD,Gasoline,small car,6,27.0,40.0,32.0,7,Yes
170,CHEVROLET Cruze,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29.0,40.0,33.0,8,Yes
171,CHEVROLET Cruze,1.6,4.0,Auto-9,2WD,Diesel,small car,3,31.0,47.0,37.0,7,Yes
172,CHEVROLET Cruze,1.6,4.0,Man-6,2WD,Diesel,small car,3,30.0,52.0,37.0,7,Yes
173,CHEVROLET Cruze Hatchback,1.4,4.0,Man-6,2WD,Gasoline,midsize car,6,27.0,38.0,31.0,7,Yes
174,CHEVROLET Cruze Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,29.0,38.0,32.0,7,Yes
175,CHEVROLET Cruze Hatchback,1.6,4.0,Auto-9,2WD,Diesel,midsize car,3,30.0,45.0,35.0,7,Yes
176,CHEVROLET Cruze Hatchback,1.6,4.0,Man-6,2WD,Diesel,midsize car,3,29.0,48.0,35.0,7,Yes
177,CHEVROLET Cruze Premier,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29.0,39.0,33.0,8,Yes
178,CHEVROLET Cruze Premier Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,28.0,37.0,31.0,7,Yes
179,CHEVROLET Equinox,1.5,4.0,Auto-6,2WD,Gasoline,small SUV,5,26.0,32.0,28.0,6,No
180,CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,5,24.0,30.0,26.0,5,No
181,CHEVROLET Equinox,1.6,4.0,Auto-6,2WD,Diesel,small SUV,3,28.0,39.0,32.0,6,No
182,CHEVROLET Equinox,1.6,4.0,Auto-6,4WD,Diesel,small SUV,3,28.0,38.0,32.0,6,No
183,CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22.0,29.0,25.0,5,No
184,CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22.0,28.0,24.0,5,No
185,CHEVROLET Impala,2.5,4.0,SemiAuto-6,2WD,Gasoline,large car,3,22.0,30.0,25.0,5,No
186,CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,7,19.0,28.0,22.0,4,No
187,CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,6,27.0,36.0,30.0,7,Yes
188,CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,7,27.0,36.0,30.0,7,Yes
189,CHEVROLET Malibu,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,49.0,43.0,46.0,10,Yes
190,CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22.0,32.0,26.0,5,No
191,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gasoline,pickup,3,16.0,23.0,19.0,3,No
192,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gasoline,special purpose,3,15.0,20.0,17.0,3,No
193,CHEVROLET Silverado 15,5.3,8.0,Auto-6,4WD,Gasoline,pickup,3,16.0,22.0,18.0,3,No
194,CHEVROLET Silverado 15,5.3,8.0,Auto-6,4WD,Gasoline,special purpose,3,15.0,19.0,17.0,3,No
195,CHEVROLET Silverado 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,18.0,24.0,20.0,4,No
196,CHEVROLET Silverado 15,5.3,8.0,Auto-8,2WD,Gasoline,pickup,3,16.0,22.0,18.0,3,No
197,CHEVROLET Silverado 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,16.0,21.0,18.0,3,No
198,CHEVROLET Silverado 15,5.3,8.0,Auto-8,4WD,Gasoline,pickup,3,15.0,20.0,17.0,3,No
199,CHEVROLET Silverado 15,6.2,8.0,Auto-8,2WD,Gasoline,pickup,3,15.0,21.0,17.0,3,No
200,CHEVROLET Silverado 15,6.2,8.0,Auto-8,4WD,Gasoline,pickup,3,15.0,20.0,17.0,3,No
201,CHEVROLET Sonic,1.4,4.0,Man-6,2WD,Gasoline,small car,3,28.0,37.0,32.0,7,Yes
202,CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,3,27.0,35.0,30.0,7,Yes
203,CHEVROLET Sonic 5,1.4,4.0,Man-6,2WD,Gasoline,station wagon,3,28.0,37.0,32.0,7,Yes
204,CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,3,27.0,35.0,30.0,7,Yes
205,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16.0,23.0,19.0,3,No
206,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,15.0,22.0,18.0,3,No
207,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,3,16.0,23.0,19.0,3,No
208,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,3,16.0,22.0,18.0,3,No
209,CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,3,14.0,23.0,17.0,3,No
210,CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,3,14.0,22.0,17.0,3,No
